,^BVSP,TAEE11.SA,PETR4.SA,BBDC4.SA,BBAS3.SA,GGBR4.SA,ITSA4.SA,VALE3.SA,USIM5.SA,B3SA3.SA
2015-07-21,51474.0,21.229999542236328,10.729999542236328,13.124017715454102,22.0,6.179999828338623,6.262450218200684,17.549999237060547,3.8399999141693115,3.75333309173584
2015-07-22,50916.0,21.049999237060547,10.359999656677246,12.959380149841309,20.940000534057617,5.849999904632568,6.170041084289551,17.290000915527344,3.740000009536743,3.7066659927368164
2015-07-23,49807.0,20.350000381469727,10.119999885559082,12.460762023925781,20.610000610351562,6.010000228881836,5.850165843963623,17.31999969482422,3.869999885559082,3.5666658878326416
2015-07-24,49246.0,20.309999465942383,10.029999732971191,12.57365608215332,20.40999984741211,5.840000152587891,5.686674118041992,16.790000915527344,3.8399999141693115,3.490000009536743
2015-07-27,48736.0,20.770000457763672,9.5,12.747701644897461,21.030000686645508,5.619999885559082,5.686674118041992,16.760000228881836,3.740000009536743,3.4666659832000732
2015-07-28,49602.0,20.299999237060547,10.020000457763672,12.879412651062012,21.0,5.980000019073486,5.7435407638549805,18.09000015258789,4.050000190734863,3.433332920074463
2015-07-29,50245.0,20.200000762939453,10.699999809265137,12.987604141235352,21.93000030517578,5.960000038146973,5.864383220672607,18.350000381469727,3.930000066757202,3.4066660404205322
2015-07-30,49897.0,20.549999237060547,10.420000076293945,12.6536226272583,21.549999237060547,5.800000190734863,5.786190986633301,17.450000762939453,3.8499999046325684,3.423332929611206
2015-07-31,50865.0,21.209999084472656,10.489999771118164,12.926451683044434,22.049999237060547,5.889999866485596,5.971007823944092,17.8700008392334,3.930000066757202,3.486665964126587
2015-08-03,50138.0,20.59000015258789,10.029999732971191,12.376090049743652,22.239999771118164,5.889999866485596,5.992332935333252,17.59000015258789,3.990000009536743,3.430000066757202
2015-08-04,50058.0,20.920000076293945,10.15999984741211,12.253787994384766,21.450000762939453,6.059999942779541,5.828841209411621,18.100000381469727,4.170000076293945,3.4200000762939453
2015-08-05,50287.0,20.469999313354492,10.010000228881836,12.202043533325195,21.700000762939453,6.239999771118164,5.807516098022461,19.010000228881836,4.170000076293945,3.4100000858306885
2015-08-06,50011.0,20.030000686645508,10.34000015258789,12.253787994384766,21.100000381469727,6.199999809265137,5.686674118041992,19.579999923706055,4.070000171661377,3.3933329582214355
2015-08-07,48577.0,19.770000457763672,9.6899995803833,11.910399436950684,20.479999542236328,6.010000228881836,5.508965015411377,18.420000076293945,3.950000047683716,3.356666088104248
2015-08-10,49353.0,19.93000030517578,9.989999771118164,12.065629959106445,21.020000457763672,6.03000020980835,5.58004903793335,19.350000381469727,3.9200000762939453,3.450000047683716
2015-08-11,49072.0,19.950000762939453,9.979999542236328,12.267900466918945,21.280000686645508,5.96999979019165,5.508965015411377,18.600000381469727,3.7899999618530273,3.5333330631256104
2015-08-12,48388.0,19.790000915527344,9.819999694824219,11.7081298828125,20.34000015258789,5.809999942779541,5.487639904022217,18.920000076293945,3.6600000858306885,3.4966659545898438
