VALE5.SA,PETR4.SA,ITUB4.SA,BBDC4.SA,OGXP3.SA,BBAS3.SA,B3SA3.SA,PETR3.SA,ITSA4.SA,VALE3.SA,PDGR3.SA,GGBR4.SA,USIM5.SA,CSNA3.SA,CMIG4.SA,ABEV3.SA,BRML3.SA,GFSA3.SA,CIEL3.SA,CCRO3.SA,OIBR4.SA,MRVE3.SA,HYPE3.SA,BRFS3.SA,CYRE3.SA,TIMS3.SA,NATU3.SA,SANB11.SA,HGTX3.SA,RSID3.SA,LREN3.SA,JBSS3.SA,VIVT4.SA,BBDC3.SA,LAME4.SA,SUZB5.SA,SBSP3.SA,GOLL4.SA,BRPR3.SA,CTIP3.SA,PCAR4.SA,UGPA3.SA,CSAN3.SA,FIBR3.SA,ELET6.SA,KLBN4.SA,ELET3.SA,BRKM5.SA,EMBR3.SA,BRAP4.SA,ENBR3.SA,ALLL3.SA,ELPL4.SA,MRFG3.SA,CRUZ3.SA,RENT3.SA,DASA3.SA,COGN3.SA,DXCO3.SA,AEDU3.SA,PRML3.SA,BISA3.SA,GOAU4.SA,CESP6.SA,MMXM3.SA,CPFE3.SA,CPLE6.SA,LIGT3.SA,OIBR3.SA,AMER3.SA,TRPL4.SA,TESA3.SA,USIM3.SA,^BVSP
36.689998626708984,,,,442.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.600000381469727,,,,,,,,,13.350000381469727,,,,,,,,21.026689529418945,,,,,,,,,,,,,
36.59000015258789,,,,437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.09000015258789,,,,,,,,,13.4399995803833,,,,,,,,20.635494232177734,,,,,,,,,,,,,
36.91999816894531,,,,445.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.030000686645508,,,,,,,,,13.319999694824219,,,,,,,,21.320083618164062,,,,,,,,,,,,,
37.43000030517578,,,,484.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.700000762939453,,,,,,,,,13.390000343322754,,,,,,,,22.88486099243164,,,,,,,,,,,,,
38.18000030517578,,,,470.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.950000762939453,,,,,,,,,13.850000381469727,,,,,,,,22.591466903686523,,,,,,,,,,,,,
38.380001068115234,,,,473.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.989999771118164,,,,,,,,,13.739999771118164,,,,,,,,21.8090763092041,,,,,,,,,,,,,
38.529998779296875,,,,468.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.170000076293945,,,,,,,,,14.0,,,,,,,,21.613479614257812,,,,,,,,,,,,,
39.75,,,,455.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.09000015258789,,,,,,,,,13.229999542236328,,,,,,,,21.51568031311035,,,,,,,,,,,,,
40.310001373291016,,,,431.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.3700008392334,,,,,,,,,13.119999885559082,,,,,,,,21.8090763092041,,,,,,,,,,,,,
41.0,,,,433.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.040000915527344,,,,,,,,,13.5600004196167,,,,,,,,21.8090763092041,,,,,,,,,,,,,
